TIP_DOCUM_CLI|COD_DOCUM_CLI
RUC|20100005213
RUC|20100013666
RUC|20100014395
RUC|20100036101
RUC|20100041449
RUC|20100066867
RUC|20100081581
RUC|20100083524
RUC|20100098980
RUC|20100100551
RUC|20100102413
RUC|20100178584
RUC|20100216346
RUC|20100234671
RUC|20100247497
RUC|20100253462
RUC|20100257298
RUC|20100259665
RUC|20100261481
RUC|20100271100
RUC|20100278708
RUC|20100281245
RUC|20100309191
RUC|20100348927
RUC|20100393396
RUC|20100418640
RUC|20100464757
RUC|20100583845
RUC|20100609232
RUC|20100630274
RUC|20100642281
RUC|20100648131
RUC|20100651433
RUC|20100660009
RUC|20100664179
RUC|20100665493
RUC|20100696020
RUC|20100758238
RUC|20100849039
RUC|20100867525
RUC|20100873924
RUC|20100876788
RUC|20100883644
RUC|20100954843
RUC|20100966264
RUC|20100985722
RUC|20100997810
RUC|20101085199
RUC|20101100929
RUC|20101126481
RUC|20101156631
RUC|20101214771
RUC|20101236235
RUC|20101256341
RUC|20101286330
RUC|20101298184
RUC|20101307868
RUC|20101317316
RUC|20101322824
RUC|20101340725
RUC|20101346766
RUC|20101348203
RUC|20101353461
RUC|20101354602
RUC|20101359078
RUC|20101362451
RUC|20101369626
RUC|20101372414
RUC|20101379770
RUC|20101420753
RUC|20101438377
RUC|20101440860
RUC|20101462910
RUC|20101516513
RUC|20101536468
RUC|20101579353
RUC|20101587968
RUC|20101628583
RUC|20101639275
RUC|20101759416
RUC|20101771891
RUC|20101772358
RUC|20101792545
RUC|20101830731
RUC|20101882706
RUC|20101915213
RUC|20102053444
RUC|20102064489
RUC|20102097905
RUC|20102101198
RUC|20102106319
RUC|20102110421
RUC|20102145217
RUC|20102171641
RUC|20102177925
RUC|20102239203
RUC|20102267240
RUC|20102306750
RUC|20102383827
RUC|20102756364
RUC|20102984669
RUC|20103117560
RUC|20103342504
RUC|20103365628
RUC|20103771880
RUC|20103836418
RUC|20104498044
RUC|20105354330
RUC|20106499196
RUC|20106700045
RUC|20106876321
RUC|20107004263
RUC|20107203037
RUC|20107639838
RUC|20107866907
RUC|20107909053
RUC|20107959077
RUC|20108001535
RUC|20108082608
RUC|20108225484
RUC|20108407167
RUC|20108417472
RUC|20108550989
RUC|20108605392
RUC|20108626128
RUC|20108813742
RUC|20108962071
RUC|20109104125
RUC|20109254283
RUC|20109259838
RUC|20109358658
RUC|20109423816
RUC|20109423905
RUC|20109550419
RUC|20110044667
RUC|20110154098
RUC|20110376741
